Giuoco Piano Game Evans Accepted McDonnell Defense 6.d4 exd4 7.cxd4,7
Ruy Lopez Opening Morphy Defense Tarrasch Variation 5...b5 6.Bb3,7
Modern Defense with 1 d4 2.c4 Bg7 3.e4 e6,7
Giuoco Piano Game 4.O O Nf6 5.d3 O O 6.h3,7
Old Benoni Defense,7
Nimzowitsch Defense Scandinavian Advance Variation,7
Modern Defense with 1 d4...3.Bf4 d6 4.e3 Nf6,7
Alekhines Defense Scandinavian Variation 3.exd5,7
Mieses Opening Reversed Rat Variation,7
Modern Defense with 1 d4 2.Nf3 Bg7 3.Bf4,7
Italian Game Two Knights Modern Bishops Opening 4...h6 5.O O d6,7
Pirc Defense Classical Variation 4...Bg7 5.Bc4 O O,7
Italian Game Two Knights Modern Bishops Opening 4...Be7 5.O O O O,7
Modern Defense Bishop Attack,7
Reti Opening Queenside Fianchetto Variation 2.e4 Bb7,7
Vienna Game Falkbeer Stanley Variation,7
Pirc Defense Modern Defense Geller System 2...Nf6 3.Nc3 e5,7
Center Game Accepted Kieseritzky Variation,7
Modern Defense Three Pawns Attack with 2 f4...Bg7 3.Nf3,7
Philidor Defense...4.O O Nf6 5.d3 O O,7
Philidor Defense Exchange Variation 4.Nxd4 Nf6 5.Nc3,7
Sicilian Defense 2.Nf3 d6 3.Bc4 Nf6 4.Nc3,7
Ruy Lopez Opening Morphy Defense Caro Graz Variation,7
Ruy Lopez Opening Morphy Defense Columbus Variation...6.Bb3 Bc5 7.d3 O O,7
Caro Kann Defense Advance Botvinnik Carls Defense 4.c3,7
Pirc Defense 2.d4 c6 3.Nf3,7
Giuoco Piano Game 4.Nc3,7
Pirc Defense 2.d4 Nf6,7
Sicilian Defense Old Sicilian Variation,7
Van t Kruijs Opening 1...c5,7
Bishops Opening 2...Nc6,7
Italian Game Two Knights Modern Bishops Opening 4...Be7 5.O O d6,7
Modern Defense with 1 d4 2.c4 Bg7,7
Four Knights Game Double Spanish Variation,6
French Defense Knight Variation 2...d5 3.exd5,6
Modern Defense Three Pawns Attack,6
French Defense Exchange Variation 3...exd5 4.Nc3 Nf6,6
French Defense Exchange Variation 3...exd5,6
Ruy Lopez Opening Cozio Defense 4.O O a6 5.Ba4,6
Giuoco Piano Game Center Attack,6
Englund Gambit 2.dxe5 Nc6 3.Nf3 Qe7,6
Ruy Lopez Opening Morphy Defense Caro Variation 5.Bb3 Nf6,6
Modern Defense with 1 e4 2.d4 Bg7 3.Nf3 c6,6
French Defense Advance Paulsen Attack 5...Qb6,6
Alapin Sicilian Defense 2...e5 3.Nf3 Nc6 4.d4,6
Three Knights Opening,6
Giuoco Piano Game 4.O O d6,6
Kings Pawn Opening Latvian Gambit Accepted,6
Reti Opening,6
Vienna Game Anderssen Defense 3.Bc4 Nf6,6
Modern Defense with 1 d4 2.c4 Bg7 3.e4 e6 4.Nc3,6
